Βὴλ_καὶ_Δράκων 1:1	Ἐκ προφητείας Ἀμβακοὐμ υἱοῦ Ἰησοῦ, ἐκ τῆς φυλῆς Δευί.
Βὴλ_καὶ_Δράκων 1:23	Καὶ ἣν δράκων ἐν τῷ αὐτῷ τόπῳ, καὶ ἐσέβοντο οἱ Βαβυλώνιοι. Syr 10 ειδωλειον 87ᵃ 14 ο δε Δανιηλ...σποδω] και επεταξε Δ. τοις παιδαριοις αυτου και κατεσησαν ολον τον ναον ενωπιον του βασιλεως Syrmg σφραγισαμενους Syr 15—17 ψευδοθυριδων] ω sup ras 87 1 ην] εμενεν Syrᵛⁱᵈ 21 ευρον Syr 23 pr tit Δρακων Syr εσεβοντο] + αυ- τον Syr 87
Βὴλ_καὶ_Δράκων 1:24	καὶ εἶπεν ὁ βασιλεὺς τῷ Δανιὴλ Μὴ καὶ τοῦτον ἐρεῖς ὅτι χαλκοῦς ἐστιν; ἰδοὺ ζῇ καὶ ἐσθίει καὶ πίνει, προσκύνησον αὐτῷ.
Βὴλ_καὶ_Δράκων 1:26	καὶ εἶπεν Δανιὴλ Βασιλεῦ, δός μοι τὴν ἐξουσίαν, καὶ ἀνελῶ τὸν δράκοντα ἄνευ σιδήρου καὶ ῤάβδου. καὶ συνεχώρησεν αὐτῷ ὁ βασιλεὺς καὶ εἶπεν αὐτῷ Δέδοταί σοι.
Βὴλ_καὶ_Δράκων 1:27	καὶ λαβὼν ὁ Δανιὴλ πίσσης μνᾶς τριάκοντα καὶ στέαρ καὶ τρίχας ἥψησεν ἐπὶ τὸ αὐτὸ καὶ ἐποίησεν μάζαν, καὶ ἐνέβαλεν εἰς τὸ στόμα τοῦ δράκοντος· καὶ φαγὼν διερράγη. καὶ ἔδειξεν αὐτὸν τῷ βασιλεῖ λέγων Οὐ ταῦτα σέβεσθε, βασιλεῦ;
Βὴλ_καὶ_Δράκων 1:28	καὶ συνήχθησαν οἱ ἀπὸ τῆς χώρας πάντες ἐπὶ τὸν Δανιὴλ καὶ εἶπαν Ἰουδαῖος γέγονεν ὁ βασιλεύς· τὸν Βὴλ κατέστρεψε καὶ τὸν δράκοντα ἀπέκτεινε.
Βὴλ_καὶ_Δράκων 1:30	καὶ ἰδὼν ὁ βασιλεὺς ὅτι ἐπισυνήχθη ὁ ὄχλος τῆς χώρας ἐπʼ αὐτόν, ἐκάλεσε τοὺς συμβιωτὰς αὐτοῦ καὶ εἶπεν Δίδωμι τὸν Δανιὴλ εἰς ἀπώλειαν.
Βὴλ_καὶ_Δράκων 1:31	–32 ἧν δὲ λάκκος ἐν ᾧ ἐτρέφοντο λέοντες ἑπτά, οἷς παρεδίδοντο οἱ ἐπίβουλοι τοῦ βασιλέως, καὶ ἐχορηγεῖτο αὐτοῖς καθʼ ἑκάστην ἡμέραν τῶν ἐπιθανατίων σώματα δύο. καὶ ἐνεβάλοσαν τὸν Δανιὴλ οἱ ὄχλοι εἰς ἐκεῖνον τὸν λάκκον, ἴνα καταβρωθῇ καὶ μηδέ ταφῆς τύχῃ. καὶ ἣν ἐν τῷ λάκκῳ Δανιὴλ ἡμέρας ἔξ.
Βὴλ_καὶ_Δράκων 1:33	καὶ ἐγένετο τῇ ἡμέρᾳ τῇ ἕκτῃ καὶ ἣν Ἁμβακοὺμ ἔχων ἄρτους ἐντεθρυμμένους ἐν σκάφῃ ἐν ἑψήματι καὶ στάμνον οἴνου κεκερασμένου, καὶ ἐπορεύετο εἰς τὸ πεδίον πρὸς τοὺς θεριστάς.
Βὴλ_καὶ_Δράκων 1:34	καὶ ἐλάλησεν ἄγγελος Κυρίου πρὸς Ἁμβακοὐμ λέγων Γάδε λέγει σοι Κύριος ὁ θεός Τὸ ἄριστον ὁ ἔχεις ἀπένεγκε Δανιὴλ εἰς τὸν λάκκον τῶν λεόντων ἐν Βαβυλῶνι.
Βὴλ_καὶ_Δράκων 1:35	καὶ εἶπεν Ἁμβακούμ Κύριε ὁ θεός, οὐχ ἑώρακα τὴν Βαβυλῶνα, καὶ τὸν λάκκον οὐ γινώσκω ποῦ ἐστι.
Βὴλ_καὶ_Δράκων 1:36	καὶ ἐπιλαβόμενος αὐτοῦ ὁ ἄγγελος Κυρίου τοῦ Ἁμβακοὺμ τῆς κόμης αὐτοῦ τῆς κεφαλῆς ἔθηκεν αὐτὸν ἐπάνω τοῦ λάκκου τοῦ ἐν Βαβυλῶνι. Syr 27 ΜΝαc Syrmg μαζας Syr 28 ειπαν Ιουδαιος γεγ. ο βασ.] tit adpiux ut vid περιτουβασιλεως λεγουσι ωςγεγονεν Ιουδαιος Syrmᵍ 31—32 ην (1⁰) Syr οι επιβουλοι] in οι (1⁰) ο sup ras 87? om τον Δανιηλ 87* (hab 87 mg Syr) 34 εις Βαβυλωνα Syr 35 γινώσκω (sic) 87 87
Βὴλ_καὶ_Δράκων 1:37	καὶ εἶπεν Ἁμβακοὺμ πρὸς Δανιήλ Ἀναστὰς φάγε τὸ ἄριστον ὃ ἀπέστειλέ σοι Κύριος ὁ θεός.
Βὴλ_καὶ_Δράκων 1:38	καὶ εἶπεν Δανιήλ Ἐμνήσθη γάρ μου Κύριος ὁ θεὸς ὁ μὴ ἐγκαταλείπων τοὺς ἀγαπῶντας αὐτόν.
Βὴλ_καὶ_Δράκων 1:39	καὶ ἔφαγε Δανιήλ· ὁ δὲ ἄγγελος Κυρίου κατέστησε τὸν Ἁμβακοὺμ ὅθεν αὐτὸν ἔλαβε τῇ αὐτῇ ἡμέρᾳ. ὁ δὲ κύριος ὁ θεὸς ἐμνήσθη τοῦ Δανιὴλ.
Βὴλ_καὶ_Δράκων 1:40	ἐξῆλθε δὲ ὁ βασιλεὺς μετὰ ταῦτα πενθῶν τὸν Δανιὴλ, καὶ ἐγκύψας εἰς τὸν λάκκον ὁρᾷ αὐτὸν καθήμενον.
Βὴλ_καὶ_Δράκων 1:41	καὶ ἀναβοήσας εἶπεν ὁ βασιλεύς Μέγας ἐστὶ Κύριος ὁ θεός, καὶ οὐκ ἔστι πλὴν αὐτοῦ ἄλλος.
Βὴλ_καὶ_Δράκων 1:42	καὶ ἐξήγαγεν ὁ βασιλεὺς τὸν Δανιὴλ ἐκ τοῦ λάκκον. καὶ τοὺς αἰτίους τῆς ἀπωλείας αὐτοῦ ἐνέβαλεν εἰς τὸν λάκκον ἐνώπιον τοῦ Δανιήλ, καὶ κατεβρώθησαν. Syr 38 εγκαταλιπων Syr Subscr in litt maiusc Δανιηλ κατα τους σ΄ 87 Syr (in Syr acced nonuulla de interpretatione LXXvirali item de versione Syro-Hexaplari)
