Σουζάννα_(translatio_Graeca) 1:1	ΚΑΙ ἦν ἀνὴρ οἰκῶν ἐν Βαβυλῶνι, καὶ ὄνομα αὐτῷ Ἰωακείμ.
Σουζάννα_(translatio_Graeca) 1:14	καὶ ἐξωμολογήσαντο πρὸς ἀλλήλους ἑκάτερος τὴν ὀδύνην αὐτοῦ.
Σουζάννα_(translatio_Graeca) 1:19	καὶ εἶπεν εἶς τῷ ἑτέρῳ Πορευθῶμεν πρὸς αὐτὴν· καὶ συνθέμενοι προσήλθοσαν αὐτῇ καὶ ἐξεβιάζοντο αὐτήν.
Σουζάννα_(translatio_Graeca) 1:22	καὶ εἶπεν αὐτοῖς ἡ Ἰουδαία Οἶδα ὅτι ἐὰν πράξω τοῦτο θάνατός μοί ἐστι, καὶ ἐὰν μὴ πράξω οὐκ ἐκφεύξομ τὰς χεῖρας ὑμῶν·
Σουζάννα_(translatio_Graeca) 1:23	κάλλιον δέ με μὴ πράξασαν ἐμπεσεῖν εἰς τὰς χεῖρας ὑμῶν ἤ ἁμαρτεῖν ἐνώπιον Κυρίου. 87
Σουζάννα_(translatio_Graeca) 1:28	οἱ δὲ παράνομοι ἄνδρες ἀπέστρεψαν ἀπειλοῦντες ἐν ἑαυτοῖς καὶ ἐνεδρεύοντες ἵνα θανατώσουσιν αὐτὴν· καὶ ἐλθόντες ἐπὶ τὴν συναγωγὴν τῆς πόλεως οὖ παρῴκουσαν, καὶ συνήδρευσαν οἱ ὄντες ἐκεῖ πάντες οἱ υἱοὶ Ἰσραήλ·
Σουζάννα_(translatio_Graeca) 1:29	καὶ ἀναστάντες οἱ δύο πρεσβύτεροι καὶ κριταὶ εἶπαν Ἀποστείλατε ἐπὶ Σουσάνναν, θυγατέρα Χελκίου, ἥτις ἐστὶ γυνὴ Ἰωακείμ. οἱ δὲ εὐθέως ἐκάλεσαν αὐτήν.
Σουζάννα_(translatio_Graeca) 1:30	ὡς δὲ παρεγενήθη ἡ γυνὴ σὺν τῷ πατρὶ ἑαυτῆς καὶ τῇ μητρί, καὶ οἱ παῖδες καὶ αἱ παιδίσκαι αὐτῆς ὄντες τὸν ἀριθμὸν πεντακόσιοι παρεγένοντο, καὶ τὰ παιδία Σουσάννας τέσσαρα.
Σουζάννα_(translatio_Graeca) 1:31	ἧν δὲ ἡ γυνὴ τρυφερὰ σφόδρα.
Σουζάννα_(translatio_Graeca) 1:32	καὶ προσέταξαν οἱ παράνομοι ἀποκαλύψαι αὐτήν, ἵνα ἐμπλησθῶσιν κάλλους ἐπιθυμίας αὐτῆς.
Σουζάννα_(translatio_Graeca) 1:33	καὶ ἐκλαίοσαν οἱ παρʼ αὐτῆς πάντες καὶ ὅσοι αὐτὴν ᾔδεισαν πάντες.
Σουζάννα_(translatio_Graeca) 1:34	ἀναστάντες δὲ οἱ πρεσβύτεροι καὶ κριταὶ ἐπέθηκαν τὰς χεῖρας αὐτῶν ἐπὶ τῆς κεφαλῆς αὐτῆς·
Σουζάννα_(translatio_Graeca) 1:35	ἡ δὲ καρδία αὐτῆς ἐπεποίθει ἐπὶ Κυρίῳ τῷ θεῷ αὐτῆς, καὶ ἀνακύψασα ἔκλαυσεν ἐν αὐτῇ λέγουσα
Σουζάννα_(translatio_Graeca) 1:35a	a Κύριε ὁ θεὸς ὁ αἰώνιος, ὁ εἰδὼς τὰ πάντα πρὶν γενέσεως αὐτῶν, σὺ οἶδας ὅτι οὐκ ἐποίησα ἃ πονηρεύονται οἱ ἄνομοι οὗτοι ἐπʼ ἐμοί. καὶ εἰσήκουσε Κύριος τῆς δεήσεως αὐτῆς.
Σουζάννα_(translatio_Graeca) 1:36	οἱ δὲ δύο πρεσβύτεροι εἶπαν Ἡμεῖς περιεπατοῦμεν ἐν τῷ παραδείσῳ τοῦ ἀνδρὸς αὐτῆς,
Σουζάννα_(translatio_Graeca) 1:37	καὶ κυκλοῦντες τὸ στάδιον εἵδομεν ταύτην ἀναπαυομένην μετὰ ἀνδρός, καὶ στάντες ἐθεωροῦμεν αὐτοὺς ὁμιλοῦντας ἀλλήλοις,
Σουζάννα_(translatio_Graeca) 1:38	καὶ αὐτοὶ οὐκ ἤδεισαν ὅτι εἱστήκειμεν. τότε συνειπάμεθα ἀλλήλοις λέγοντες Μάθωμεν τίνες εἰσὶν οὗτοι.
Σουζάννα_(translatio_Graeca) 1:39	καὶ προσελθόντες ἐπέγνωμεν αὐτὴν· ὁ δὲ νεανίσκος ἔφυγε συγκεκαλυμμένος.
Σουζάννα_(translatio_Graeca) 1:40	ταύτης δὲ ἐπιλαβόμενοι ἐπηρωτῶμεν αὐτήν Τίς ὁ ἄνθρωπος;
Σουζάννα_(translatio_Graeca) 1:41	καὶ οὐκ ἀπήγγειλεν ἡμῖν τίς ἦν. ταῦτα μαρτυροῦμεν. καὶ ἐπίστευσεν αὐτοῖς ἡ συναγωγὴ πᾶσα, ὡς πρεσβυτέρων ὄντων καὶ κριτῶν τοῦ λαοῦ.
Σουζάννα_(translatio_Graeca) 1:44	–45 Καὶ ἰδοὺ ἄγγελος Κυρίου, ἐκείνης ἐξαγομένης ἀπολέσθαι· καὶ ἔδωκεν ὁ ἄγγελος, καθὼς προσετάγη, πνεῦμα συνέσεως νεω- Syr 28 ελθοντες] ηλθον Syr παρωκουν 87a (ουν superscr) 29 θυγατερα] incep τ 87* εκαλεσαν αυτην] απεστειλαν επ αυτην Syrᵐᵍ 32 επιθυμιας καλλους Syr 35 αυτη] εαυτη Syr 37 αυτους] ους sup ras 87? 40 τις] + ην Syr ο ανθρωπος] ο νεανισκος Syrᵐᵍ 87 τερῶ ὄντι Δανιὴλ.
Σουζάννα_(translatio_Graeca) 1:48	διαστείλας δὲ Δανιὴλ τὸν ὄχλον καὶ στὰς ἐν μέσῳ αὐτῶν εἶπεν Οὕτως μωροί, υἱοὶ Ἰσραήλ; οὐκ ἀνακρίναντες οὐδὲ τὸ σαφές ἐπιγνόντες ἀπεκτείνατε θυγατέρα Ἰσραήλ;
Σουζάννα_(translatio_Graeca) 1:51	καὶ νῦν διαχωρίσατέ μοι αὐτοὺς ἀπʼ ἀλλήλων μακράν, ἵνα ἐτάσω αὐτούς.
Σουζάννα_(translatio_Graeca) 1:51a	a ὡς δὲ διεχωρίσθησαν, εἶπεν Δανιὴλ τῇ συναγωγῇ Νῦν μὴ βλέψητε ὅτι οὗτοί εἰσι πρεσβύτεροι, λέγοντες Οὐ μὴ ψεύσωνται· ἀλλὰ ἀνακρινῶ αὐτοὺς κατὰ τὰ ὑποπίπτοντά μοι.
Σουζάννα_(translatio_Graeca) 1:52	καὶ ἐκάλεσε τὸν ἕνα αὐτῶν, καὶ προσήγαγον τὸν πρεσβύτερον τῷ νεωτέρῳ· καὶ εἶπεν αὐτῷ Δανιὴλ Ἅκουε ἄκουε, πεπαλαιωμένε ἡμερῶν κακῶν· νῦν ἥκασί σου αἱ ἁμαρτίαι ἃς ἐποίεις τὸ πρότερον,
Σουζάννα_(translatio_Graeca) 1:53	πιστευθεὶς ἀκούειν καὶ κρίνειν κρίσεις θάνατον ἐπιφερούσας, καὶ τὸν μέν ἀθῷον κατέκρινας, τοὺς δὲ ἐνόχους ἠφίεις, τοῦ κυρίου λέγοντος Ἀθῷον καὶ δίκαιον οὐκ ἀποκτενεῖς.
Σουζάννα_(translatio_Graeca) 1:54	νῦν οὖν ὑπὸ τί δένδρον καὶ ποταπῷ τοῦ παραδείσου τόπῳ ἑώρακας αὐτοὺς ὄντας σὺν ἑαυτοῖς; καὶ εἶπεν ὁ ἀσεβής ῾ γπὸ σχῖνον.
Σουζάννα_(translatio_Graeca) 1:55	εἶπεν δὲ ὁ νεώτερος Ὀρθῶς ἔψευσαι εἰς τὴν σεαυτοῦ ψυχήν· ὁ γὰρ ἄγγελος Κυρίου σχίσει σου τὴν ψυχὴν σήμερον.
Σουζάννα_(translatio_Graeca) 1:56	καὶ τοῦτον μεταστήσας εἶπεν προσαγαγεῖν αὐτῷ τὸν ἕτερον· καὶ τούτῳ δὲ εἶπεν Διὰ τί διεστραμμένον τὸ σπέρμα σου, ὡς Σιδῶνος καὶ οὐχ ὡς Ἰούδα; τὸ κάλλος σε ἠπάτησεν, ἡ μικρὰ ἐπιθυμία.
Σουζάννα_(translatio_Graeca) 1:57	καὶ οὕτως ἐποιεῖτε θυγατράσιν Ἰσραήλ, καὶ ἐκεῖναι φοβούμεναι ὡμιλοῦσαν ὑμῖν· ἀλλʼ οὐ θυγάτηρ Ἰούδα ὑπέμεινε τὴν νόσον ὑμῶν ἐν ἀνομίᾳ ὑπενεγκεῖν.
Σουζάννα_(translatio_Graeca) 1:58	νῦν οὖν λέγε μοι ῾ γπὸ ὸ τί δένδρον καὶ ἐν ποίῳ τοῦ κήπου τόπῳ κατέλαβες αὐτοὺς ὁμιλοῦντας ἀλλήλοις; ὁ δὲ εἶπεν ῾ γπὸ πρῖνον.
Σουζάννα_(translatio_Graeca) 1:59	καὶ εἶπεν Δανιὴλ Ἁμαρτωλέ, νῦν ὁ ἄγγελος Κυρίου τὴν ῥομφαίαν ἕστηκεν ἔχων, ἕως ὁ λαὸς ἐξολεθρεύσει ὑμᾶς, ἵνα καταπρίσῃ σε.
Σουζάννα_(translatio_Graeca) 1:60	–62 Καὶ πᾶσα ἡ συναγωγὴ ἀνεβόησεν ἐπὶ τῷ νεωτέρῳ, ὡς ἐκ τοῦ ἰδίου στόματος ὁμολόγους αὐτοὺς κατέστησεν ἀμφοτέρους ψευδο- Syr 53 κατεκρινες Syr 54 cXINoN Syrᵐᵍ 56 διεστραμμενον] in στραμ aliq emend 87? ως Σιδωνος και ουχ ως Ιουδα] [θ΄] σπερμα Χανααν και ουκ Ιουδα Syrmg 58 ΠΡΙΝοΝ Syrmᵍ 87 μάρτυρας· καὶ ὡς ὁ νόμος διαγορεύει ἐποίησαν αὐτοῖς, καθὼς ἐπονηρεύσαντο κατὰ τῆς ἀδελφῆς. καὶ ἐφίμωσαν αὐτοὺς καὶ ἐξαγαγόντες ἔρριψαν εἰς φάραγγα· τότε ὁ ἅγγελος Κυρίου ἔρριψε πῦρ διὰ μέσου αὐτῶν. καὶ ἐσώθη αἶμα ἀναίτιον ἐν τῇ ἡμέρᾳ ἐκείνῃ.
Σουζάννα_(translatio_Graeca) 1:62a	ᵃΔιὰ τοῦτο οἱ νεώτεροι ἀγαπητοὶ Ἰακὼβ ἐν τῇ ἁπλότητι αὐτῶν.
Σουζάννα_(translatio_Graeca) 1:62b	καὶ ἡμεῖς φυλασσώμεθα εἰς υἱοὺς δυνατοὺς νεωτέρους· εὐσεβήσουσι γὰρ νεώτεροι, καὶ ἔσται ἐν αὐτοῖς πνεῦμα ἐπιστήμης καὶ συνέσεως εἰς αἰῶνα αἰῶνος. Syr 60–62 εποιησεν Syr 62 a οι νεωτεροι Ιακωβ αγαπητοι Syr
