Ὠδαί 1:1	AΣΩΜΕΝ τῷ κυρίῳ, ἐνδόξως γὰρ δεδόξασται XV, ἵππον καὶ ἀναβάτην ἔρριψεν εἰς θάλασσαν. 1—19
Ὠδαί 2:5	ἡμάρτοσαν, οὐκ αὐτῷ τέκνα, μωμητά· γενεὰ σκολιὰ καὶ διεστραμμένη.
Ὠδαί 2:6	ταῦτα Κυρίῳ ἀνταποδίδοτε οὕτω, λαὸς μωρὸς καὶ οὐχὶ σοφός; οὐκ αὐτὸς οὗτός σου πατὴρ ἐκτήσατό σε, καὶ ἐποίησέν σε καὶ ἔκτισέν σε ;
Ὠδαί 2:7	μνήσθητε ἡμέρας αἰῶνος, σύνετε ἔτη γενεᾶς γενεῶν. ἐπερώτησον τὸν πατέρα σου, καὶ ἀναγγελεῖ σοι· τοὺς πρεσβυτέρους σου, καὶ ἐροῦσίν σοι.
Ὠδαί 2:8	ὅτε διεμέριζεν ὁ ὕψιστος ἔθνη, οὓς διέσπειρεν υἱοὺς Ἀδάμ, ἔστησεν ὅρια ἐθνῶν κατὰ ἀριθμὸν ἀγγέλων θεοῦ.
Ὠδαί 2:9	καὶ ἐγενήθη μερὶς Κυρίου λαὸς αὐτοῦ Ἰακώβ, σχοίνισμα κληρονομίας αὐτοῦ Ἰσραήλ.
Ὠδαί 2:10	αὐτάρκησεν αὐτὸν ἐν τῇ ἐρήμῳ. ἐν δίψῃ καύματος, ἐν ἀνύδρῳ· II ωδη...Δευτερονομιω] αρχεται ωδη Δευτερονομιου R 1 γη] pr η R | R ρηματα] pr τα R 2 το αποφθεγμα] om το R ωσει 2°] ως R 4 αδικια] + εν αυτω R | Κυριος] pr ο R 6 ταυτα] αυτα R | ουτως R | om ουτος R 8 ους] ως R vid | κατα] κατ R 10 διψει R A ἐκύκλωσεν αὐτὸν καὶ ἐπαίδευσεν αὐτόν, καὶ διεφύλαξεν αὐτὸν ὡς κόρην ὀφθαλμοῦ.
Ὠδαί 2:11	ὡις ἀετὸς σκεπάσαι νοσσιὰν αὐτοῦ, καὶ ἐπὶ τοῖς νεοσσοῖς αὐτοῦ ἐπεπόθησεν· διεὶς τὰς πτέρυγας αὐτοῦ ἐδέξατο αὐτούς, καὶ ἀνέλαβεν αὐτοὺς ἐπὶ τῶν μεταφρένων αὐτοῦ.
Ὠδαί 2:12	Κύριος μόνος ἦγεν αὐτούς, καὶ οὐκ ἦν μετʼ αὐτῶν θεὸς ἀλλότριος.
Ὠδαί 2:13	ἀνεβίβδασεν αὐτοὺς ἐπὶ τὴν ἰσχὺν τῆς γῆς. ἐψώμισεν αὐτοὺς γενήματα ἀγρῶν· ἐθήλασαν μέλι ἐκ πέτρας. καὶ ἔλαιον ἐκ στερεᾶς πέτρας·
Ὠδαί 2:14	βδούτυρον βοῶν καὶ γάλα προβάτων μετὰ στέατος ἀρνοῶν καὶ κριῶν, υἱῶν ταύρων καὶ τράγων μετὰ στέατος νεφρῶν πυροῦ, καὶ αἶμα σταφυλῆς ἔπιον οἶνον.
Ὠδαί 2:15	καὶ ἔφαγεν Ἰακὼβ καὶ ἐνεπλήσθη, καὶ ἀπελάκτισεν ὁ ἠγαπημένος, ἐλιπάνθη, ἐπαχύνθη, ἐπλατύνθη· καὶ ἐνκατέλειπεν θεὸν τὸν ποιήσαντα αὐτόν, καὶ ἀπέστη ἀπὸ θεοῦ σωτῆρος αὐτοῦ.
Ὠδαί 2:16	παρώξυνάν με ἐπʼ ἀλλοτρίοις. ἐν βδελύγμασιν αὐτῶν ἐξεπίκρανάν με·
Ὠδαί 2:17	ἔθυσαν δαιμονίοις καὶ οὐ θεῷ, θεοῖς οἶς οὐκ ᾔδεεσαν· καινοὶ καὶ πρόσφατοι ἤκασιν, οὓς οὐκ ᾔδεισαν οἱ πατέρες αὐτῶν.
Ὠδαί 2:18	θκὸν τὸν ποιήσαντά σε ἐυκατέλειπες, καὶ ἐπελάθου θεοῦ τοῦ τρέφοντός σε.
Ὠδαί 2:19	εἶδεν Κύριος καὶ ἐζήλωσεν, καὶ παρωξύνθη δι᾿ ὀργὴν υἱῶν αὐτοῦ καὶ θυγατέρων· R 10 διεφυλαξεν] εφυλαξεν R κορον R 11 σκεπασει R νεοσσοις] νοσσιοις R 14 om και 4⁰ R 15 ελιπανθη. σωτηρος αυτου] επλατυνθη επαχυνθη και απεστη απο θεου σωτηρος αυτου και ενκατελιπεν θεον τον ποιησαντα αυτον R 16 επ αλλοτριοις] επι θεσις αλλ R 17 om και 2⁰ R 18 ποιησαντα] γεννησαντα R ενκατελιπες Rᵛᵈ 19 παρωξυνεν R αυτου] ουτων R
Ὠδαί 2:20	καὶ εἶπεν Ἀποστρέψω τὸ πρόσωπόν μου ἀπʼ αὐτῶν, Α καὶ δείξω τί ἔσται αὐτοῖς ἐπʼ ἐσχάτων. ὅτι γενεὰ ἐξεστραμμένη ἐστίν, υἱοὶ οἷς οὐκ ἔστιν πίστις ἐν αὐτοῖς.
Ὠδαί 2:21	αὐτοὶ παρεζήλωσάν με ἐπʼ οὐ θεῷ, παρώργισάν με ἐν τοῖς εἰδώλοις αὐτῶν· κἀγὼ παραζηλώσω αὐτοὺς ἐπʼ οὐκ ἔθνει. ἐπ᾿ ἔθνει ἀσυνέτῳ παροργιῶ αὐτούς.
Ὠδαί 2:22	ὄτι πῦρ ἐκκέκαυται ἐκ τοῦ θυμοῦ μου, καυθήσεται ἕως ἄδου κάτω· καταφάγεται γῆν καὶ τὰ γενήματα αὐτῆς, φλέξει θεμέλια ὀρέων.
Ὠδαί 2:23	συνάξω εἰς αὐτοὺς κακά, καὶ τὰ βέλη μου συντελέσω εἰς αὐτούς.
Ὠδαί 2:24	τηκόμενοι λιμῷ καὶ βρώσει ὀρνέων, καὶ ὀπισθότονος ἀνίατος· ὀδόντας θηρίων ἐξαποστελῶ εἰς αὐτούς, μετὰ θυμοῦ συρόντων ἐπὶ γῆς.
Ὠδαί 2:25	ξωθεν ἀτεκνώσει αὐτοὺς μάχαιρα, καὶ ἐκ τῶν ταμείων φόβος· νεανίσκος σὺν παρθένῳ, θηλάζων μετὰ καθεστηκότος πρεσβυτέρου.
Ὠδαί 2:26	εἶπα Διασπερῶ αὐτούς, καταπαύσω δὴ ἐξ ἀνθρώπων τὸ μνημόσυνον αὐτῶν·
Ὠδαί 2:27	εἰ μὴ δι᾿ ὀργὴν ἐχθρῶν, ἵνα μὴ μακροχρονίσωσιν. καὶ ἵνα μὴ συνεπιθῶνται οἱ ὑπεναντίοι· μὴ εἴπωσιν Ἡ χεὶρ ἡμῶν ὑψηλὴ καὶ οὐχὶ Κύριος ἐποίησεν ταῦτα πάντα.
Ὠδαί 2:28	ὅτι ἔθνος ἀπολωλεκὸς βουλὴν ἐστιν, καὶ οὐκ ἔστιν ἐν αὐτοῖς ἐπιστήμη.
Ὠδαί 2:29	οὺκ ἐφρόνησαν συνιέναι ταῦτα· καταδεξάσθωσαν εἰς τὸν ἐπιόντα χρόνον.
Ὠδαί 2:30	πῶς διώξεται εἰς χιλίους. καὶ δύο μετακινήσουσιν μυριάδας, 20 εσχατων] εσχατου των ημερων R 21 θεω] θεσις R 22 κατω] R κατωτατου R καταφαγεται] pr και R γην] pr την R 23 εις 1⁰] επ 24 λοιμω R vid αποστελλω R 26 παυσω R 27 μακροχρονιουσιν R om και 1⁰ R μη 4] + ποτε R 29 ταυτα c seqq coniunx R A εἰ μὴ ὁ θεὸς ἀπέδετο αὐτούς, καὶ ὁ κύριος παρέδωκεν αὐτούς;
Ὠδαί 2:31	οὐ γὰρ εἰσὶν οἱ θεοὶ αὐτῶν ὡς ὁ θεὸς ἡμῶν· οἱ δὲ ἐχθροὶ ἡμῶν ἀνόητοι.
Ὠδαί 2:32	ἐκ γὰρ ἀμπέλου Σοδόμων ἡ ἄμπελος αὐτῶν, καὶ ἡ κληματὶς αὐτῶν ἐκ Γομόρρας· ἡ σταφυλὴ αὐτῶν σταφυλὴ χολῆς, βότρυς πικρίας αὐτοῖς·
Ὠδαί 2:33	θυμὸς δρακόντων ὁ οἶνος αὐτῶν, καὶ θυμὸς ἀσπίδων ἀνίατος.
Ὠδαί 2:34	οὐχὶ ταῦτα πάντα συνῆκται παρ ἐμοί, καὶ ἐσφράγισται ἐν τοῖς θησαυροῖς μου
Ὠδαί 2:35	ἐν ἡμέρᾳ ἐκδικήσεως ἀνταποδώσω. ἐν καιρῷ ὅταν σφαλῇ ὁ ποὺς αὐτῶν· ὅτι ἐγγὺς ἡμέρα ἀπωλίας αὐτῶν, καὶ πάρεστιν ἕτοιμα ὑμῖν.
Ὠδαί 2:36	ὅτι κρινεῖ Κύριος τὸν λαὸν αὐτοῦ, καὶ ἐπὶ τοῖς δούλοις αὐτοῦ παρακληθήσεται· ἴδεν γὰρ αὐτοὺς παραλελυμένους καὶ ἐκλελοιπότας ἐν ἐπαγωγῇ καὶ παρειμένους.
Ὠδαί 2:37	καὶ εἶπεν Κύριος Ποῦ εἰσιν οἱ θεοὶ αὐτῶν, ἐφʼ οἷς ἐπεποίθεισαν ἐπʼ αὐτοῖς
Ὠδαί 2:38	ὧν τὸ στέαρ τῶν θυσιῶν αὐτῶν ἐσθίετε, καὶ ἐπίνετε τὸν οἶνον τῶν σπονδῶν αὐτῶν· ἀναστήτωσαν καὶ βοηθησάτωσαν ὑμῖν, καὶ γενηθήτωσαν ὑμῖν σκεπασταί.
Ὠδαί 2:39	ἴδτε ἴδετε ὅτι ἐγὼ εἰμι. καὶ οὐκ ἔστιν θεὸς πλὴν ἐμοῦ· ἐγὼ ἀποκτενῶ καὶ ζῆν ποιήσω· πατάξω, κἀγὼ ἰάσομαι καὶ οὐκ ἔστιν ὁ ἐκ τῶν χειρῶν μου ἐξαιρούμενος.
Ὠδαί 2:40	ὅτι ἀρῶ εἰς τὸν οὐρανὸν τὴν χεῖρά μου, R 30 ει] pr και R απεδοτο R 31 οτι ουκ εστιν ο θεος ημων ως οι θεοι ουτων R 34 ουχι] ουκ ιδου R om πανια R 36 παρακλη- σεται R (θη superscr R¹) παραλελυμενους αυτους R εκλελοιποντας (ut vid) R απαγωγη R παρειμενους] απαγομενους ᵛⁱᵈ 38 om τον οινον αναστητωσαν] + νυν R 39 εστιν] εσται R ο] ος A R εκ των χιρων μου εξαιρ.] εξελειται εκ τ. χ. μου R 40 ουρανον] + ανω R την χειρα] τας χειρας καὶ ὀμοῦμαι τῇ δεξιῷ μου A καὶ ἐρῶ Ζῶ ἐγὼ εἰς τὸν αἰῶνα·
Ὠδαί 2:41	ὅτι παροξυνῶ ὡς ἀστραπὴν τὴν μάχαιράν μου, καὶ ἀνθέξεται κρίματος ἡ χείρ μου. καὶ ἐκδικήσει, καὶ ἀνταποδώσει δίκην τοῖς ἐχθροῖς, καὶ τοῖς μισοῦσιν ἀνταποδώσει.
Ὠδαί 2:42	μεθύσω τὰ βέλη μου ἀφʼ αἵματος, καὶ ἡ μάχαιρά μου καταφάγεται κρέα, ἀφʼ αἵματος τραυματιῶν καὶ αἰχμαλωσίας, ἀπὸ κεφαλῆς ἀρχόντων ἐθνῶν.
Ὠδαί 2:43	εὐφράνθητε, οὐρανοί, ἄμα αὐτῷ, καὶ προσκυνησάτωσαν αὐτῷ πάντες οἱ ἄγγελοι θεοῦ· εὐφράνθητε, ἔθνη, μετὰ τοῦ λαοῦ αὐτοῦ, καὶ ἐνισχυσάτωσαν αὐτῷ πάντες υἱοὶ θεοῦ· ὅτι τὸ αἶμα τῶν υἱῶν αὐτοῦ ἐκδικεῖται, καὶ ἐκδικήσει, καὶ ἀνταποδώσει δίκην τοῖς ἐχθροῖς· καὶ τοῖς μισοῦσιν ἀνταποδώσει δίκην, καὶ ἐκκαθαριεῖ Κύριος τὴν γῆν τοῦ λαοῦ αὐτοῦ. Γ΄ ροσευχὴ Ἄννας μητρὸς Σαμουὴλ. Regn.
Ὠδαί 3:1	Ἐστερεώθη ἡ καρδία μου ἐν Κυρίχ·, ii. ὑψώθη κέρας μου ἐν θεῷ μου· —10 ἐπλατύνθη ἐπʼ ἐχθρούς μου τὸ στόμα μου, ηὐφράνθην ἐν σωτηρίᾳ σου.
Ὠδαί 3:2	ὅτι οὐκ ἔστιν ἅγιος ὡς Κύριος. καὶ οὐκ ἔστιν δίκαιος ὡς ὁ θεὸς ἡμῶν, οὐκ ἕστιν ἄγιος πλὴν σοῖ.
Ὠδαί 3:3	μὴ καυχᾶσθε καὶ μὴ λαλεῖτε ὑψηλά, μηδέ ἐξελθάτω μεγαλορημοσύνη ἐκ τοῦ στόματος ὑμῶν· 40 ομνουμαι R την δεξιαν μ. R 41 om και εκδικησει R ανταποδωσω R bis εχθροις] μου R μισουσιν] + με R 42 φαγεται R om εθνων R 43 αυτω 2⁰] αυτον R οι αγγελοι] υιοι R υιοι] οι αγγελοι R εκδικαται R om δικην 2⁰ R αυτου 30] + (44) και εγραψεν Μρουσης την ωδην ταυτην εν εκεινη τη ημερα και εδιδαξεν αυτην τοις υιοις Ισραηλ εως εις τελος R III ([ς΄] T) om μητρος Σαμουηλ 2 om και ουκ εστιν δικαιος ως θεος ημων R 8 μηδε] και μη R A ὅτι θεὸς γνώσεων Κύριος, καὶ θεὸς ἑτοιμάζων ἐπιτηδεύματα αὐτοῦ.
Ὠδαί 3:4	τόξον δυνατῶν ἠσθένησεν, καὶ ἀσθενοῦντες περιεζώσαντο δύναμιν.
Ὠδαί 3:5	πλήρεις ἄρτων ἠλαττώθησαν, καὶ οἱ πεινῶντες παρῆκαν γῆν. ὅτι στεῖρα ἔτεκεν ἑπτά, καὶ ἡ πολλὴ ἐν τέκνοις ἠσθένησεν. §Τ
Ὠδαί 3:6	Κύριος θανατοῖ καὶ ζωογονεῖ κατάγει εἰς ἅδοῦ καὶ ἀνάγει.
Ὠδαί 3:7	Κύριος πτωχίζει καὶ πλουτίζει, ταπεινοῖ καὶ ἀνυψοῖ
Ὠδαί 3:8	ἀνιστᾷ ἀπὸ γῆς πένητα, καὶ ἀπὸ κοπρίας ἐγείρει πτωχόν· τοῦ καθίσαι αὐτὸν μετὰ δυναστῶν λαοῦ, καὶ θρόνον δόξης κατακληρονομῶν αὐτοῖς.
Ὠδαί 3:9	διδοὺς εὐχὴν τῷ εἰχομένῳ. καὶ εὐλόγησεν ἔτη δικαίου. ὅτι οὐκ ἐν ἰσχύι δυνατὸς ἀνήρ·
Ὠδαί 3:10	Κύριος ἀσθενῆ ποιήσει τὸν ἀντίδικον αὐτοῦ· Κύριος ἄγιος. μὴ καυχάσθω ὁ σοφὸς ἐν τῇ σοφίᾳ αὐτοῦ, καὶ μὴ καυχάσθω ὁ δυνατὸς ἐν τῇ δυνάμει αὐτοῦ, καὶ μὴ καυχάσθω ὁ πλούσιος ἐν τῷ πλούτῳ αὐτοῦ- ἀλλʼ ἡ ἐν τούτῳ καυχάσθω ὁ καυχώμενος. συνίειν καὶ γινώσκειν τὸν κύριον, καὶ σοιεῖν κρίμα καὶ δικαιοσύνην ἐν μέσῳ τῆς γῆς. Κύριος ἀνέβη εἰς οὐρανούς, καὶ ἐβρόντησεν· αὐτὸς κρινεῖ ἄκρα γῆς, δίκαιος ὧν. καὶ δίδωσιν ἰσχὺν τοῖς βασιλεῦσιν ἡμῶν. ¶AΤ καὶ ὑψώσει κέρας χριστοῦ αὐτοῦ RΤ 5 πληρης R 8 bis scr μετα δυναστων R R* (improb 1⁰ R¹?) και θρο- νον] εν θρονω R 9 ανηρ] + εν τη ισχυι αυτου T 10 καυκαυχασθω (4·) R vid κυνιειν] pr εν τω T αυτος] pr και R omI δικαιος ων R om και 7⁰ R διδωσιν] δωσει T Δ΄ (α) ᾨδὴ Ἠσαίου. R Isa.
Ὠδαί iva:1	ᾍσω δέ τῷ ἠγαπημένῳ ᾆσμα τοῦ ἀγαπητοῦ τῷ ἀμπελῶνί μου. V. ἀμπελὼν ἐγένετο τῷ ἠγαπημένῳ ἐν κέρατι ἐν τόπῳ πίονι· 1—9
Ὠδαί iva:2	καὶ φραγμὸν περιέθηκα, καὶ ἐφύτευσαν ἄμπελον ἐν σωρήκ. καὶ ᾠκοδόμησα πύργον ἐν μέσῳ αὐτῆς, καὶ προλήνιον ἔρυξα ἐν αὐτῷ· καὶ ἔμεινα τοῦ ποιῆσαι σταφυλήν, ἐποίησεν δὲ ἀκάνθας.
Ὠδαί iva:3	καὶ νῦν, ἄνθρωπος τοῦ Ἰούδα καὶ οἱ ἐνοικοῦντες ἐν Ἰερουσαλήμ κρίνατε ἐν ἐμοὶ καὶ ἀνὰ μέσον τοῦ ἀμπελῶνός μου.
Ὠδαί iva:4	τί ποιήσω τῷ ἀμπελῶνί μου ἔτι, καὶ οὐκ ἐποίησα αὐτῷ; διότι ἔμεινα ἵνα ποιήσῃ σταφυλήν, ἐποίησεν δὲ ἀκάνθας.
Ὠδαί iva:5	νῦν δὲ ἀναγγελῶ ὑμῖν τί ποιήσω τῷ ἀμπελῶνί μου· ἀφελῶ τὸν φραγμὸν αὐτοῦ καὶ ἔσται εἰς καταπάτημα. καὶ καθελῶ τὸν τοῖχον αὐτοῦ καὶ ἔσται εἰς καταπάτημα.
Ὠδαί iva:6	καὶ ἀνήσω τὸν ἀμπελῶνά μου, καὶ οὐ μὴ τμηθῇ οὐδὲ μὴ σκαφῇ. καὶ ἀναβήσεται εἰς αὐτὸν ὡσεὶ εἰς χέρσον ἄκανθα· καὶ ταῖς νεφέλαις ἐντελοῦμαι τοῦ μὴ βρέξαι εἰς αὐτὸν ὑετόν.
Ὠδαί iva:7	ὁ γὰρ ἀμπελὼν Κυρίου σαβαὼθ οἶκος Ἰσραήλ ἐστιν, καὶ ἄνθρωπος τοῦ Ἰούδα νεόφυτον ἠγαπημένον· καὶ ἔμεινα τοῦ ποιῆσαι κρίσιν, ἐποίησεν δὲ ἀνομίαν καὶ οὐ δικαιοσύνην ἀλλὰ κραυγήν.
Ὠδαί iva:8	καὶ οἱ συνάπτοντες οἰκίαν πρὸς οἰκίαν, καὶ ἀγρὸν πρὸς ἀγρὸν ἐγγίζοντες, ἵνα τοῦ πλησίον ἀφελοῦνται, μὴ οἰκήσετε μόνοι ἐπὶ τῆς γῆς
Ὠδαί iva:9	ἠκούσθη γὰρ ταῦτα πάντα εἰς τὰ ὦτα Κυρίου σαβαώθ.¶ ¶ R Δ΄ (β) IVb § Προσευχὴ Ἠσαίοι. A § A Ιsa.
Ὠδαί ivb:9	Ἐκ νυκτὸς ὀρθρίζει τὸ πνεῦμά μου πρὸς σέ, ὁ θεός. διότι φῶς τὰ προστάγματά σου ἐπὶ τῆς γῆς· δικαιοσύνην μάθετε, οἱ ἐνοικοῦντες ἐπὶ τῆς γῆς. IVᵃ [δ΄] R 2 εφυτευσα R¹ 6 ακανθη R 8 επι της γης AR paene evan in R IVb δ΄ A | Ησαιου] Εζεκιου A A
Ὠδαί ivb:10	πέπαυται γὰρ ὁ ἀσεβής· οὐ μὴ μάθῃ δικαιοσύνην ἐπὶ τῆς γῆς. ἀλήθειαν οὐ μὴ ποιήσει ἀρθήτω ὁ ἀσεβής, ἵνα μὴ ἴδῃ τὴν δόξαν Κυρίου
Ὠδαί ivb:11	Κύριε, ὑψηλός σου ὁ βραχίων καὶ οὐκ ᾔδεισαν, γνόντες δὲ αἰσχυνθήτωσαν· ζῆλος λήμψεται λαὸν ἀπαίδευτον, καὶ νῦν πῦρ τοὺς ὑπεναντίους ἔδεται.
Ὠδαί ivb:12	Κύριε ὁ θεὸς ἡμῶν, εἰρήνην δὸς ἡμῖν· πάντα γάρ ἀπέδωκας ἡμῖν.
Ὠδαί ivb:13	Κύριε ὁ θεὸς ἡμῶν, κτῆσαι ἡμᾶς· Κύριε, ἐκτὸς σοῦ ἄλλον οὐκ οἴδαμεν, τὸ ὄνομά σου ὀνομάζομεν.
Ὠδαί ivb:14	οἱ δε νεκροὶ ζωὴν οὐ μὴ ἴδωσιν, οὐδὲ ἰατροὶ οὐ μὴ ἀναστήσουσιν· διὰ τοῦτο ἐπήγαγες καὶ ἀπώλεσας, καὶ ᾖρας πᾶν ἄρσεν αὐτῶν.
Ὠδαί ivb:15	πρόσθες αὐτοῖς κακά, Κύριε, πρόσθες κακὰ ἐπὶ τοῖς ἐνδόξοις τῆς γῆς
Ὠδαί ivb:16	Κύριε, ἐν θλίψει ἐμνήσθην σου· ἐυ θλίψει μικρῷ ἡ παιδία σου ἡμίν.
Ὠδαί ivb:17	καὶ ὡς ἡ ὠδίνουσα ἐγγίζει τοῦ τεκεῖν, καὶ ἐπὶ τῇ ὤδῖνι αὐτῆς ἐκέκραξεν. οὕτως ἐγενήθημεν τῷ ἀγαπητῷ σου.
Ὠδαί ivb:18	διὰ τὸν φόβον σου, Κύριε, ἐν γαστρὶ ἐλάβομεν καὶ ὼδινήσαμεν καὶ ἐτέκομεν· πνεῖμα σωτηρίας σου ἐποιήσαμεν ἐπὶ τῆς γῆς· οὐ πεσούμεθα, ἀλλά πεσοῦνται οἱ ἐνοικοῦντες ἐπὶ τῆς γῆς.
Ὠδαί ivb:19	ἀυαστήσονται οἱ νεκροί, καὶ ἐγερθήσονται οἱ ἐυ τοῖς μνήμασιν, καὶ εὐφρανθήσονται οἱ ἐν τῇ γῇ· ἡ γάρ δρόσος ἡ παρὰ σοῦ ἴαμα αὐτοῖς ἐστιν, ἡ δὲ γῆ τῶν ἀσεβῶν πεσεῖται.
